Elsinore (Glen Ivy) rev                     	 -117.499000 	 33.763000 	 316.000000 	 -0.006200 	 -0.008600 	 -0.001200 	 -0.000000 	 -0.002400 	 0.005000 	 0.003098 	 0.001899 	 0.005597 	 0.002992 	 0.001834 	 0.005405 	 -0.003208 	 -0.001966 	 -0.005795 	 -0.003098 	 -0.001899 	 -0.005597 
Elysian Park (Upper)                        	 -118.181000 	 34.064000 	 273.000000 	 0.000000 	 -0.000700 	 0.000700 	 -0.000964 	 -0.001664 	 -0.000264 	 -0.000003 	 0.000001 	 0.000004 	 -0.000050 	 0.000027 	 0.000074 	 -0.000050 	 0.000027 	 0.000074 	 -0.000962 	 0.000513 	 0.001410 
Fickle Hill (alt1)                          	 -124.076000 	 40.867000 	 320.000000 	 0.000000 	 -0.000350 	 0.000350 	 -0.000573 	 -0.000923 	 -0.000223 	 -0.000336 	 0.000168 	 0.000505 	 -0.000282 	 0.000141 	 0.000424 	 -0.000282 	 0.000141 	 0.000424 	 -0.000237 	 0.000118 	 0.000355 
Fickle Hill (alt1)                          	 -124.010000 	 40.804000 	 320.000000 	 0.000000 	 -0.000200 	 0.000200 	 -0.000819 	 -0.001019 	 -0.000619 	 -0.000481 	 0.000385 	 0.000577 	 -0.000403 	 0.000323 	 0.000484 	 -0.000403 	 0.000323 	 0.000484 	 -0.000338 	 0.000271 	 0.000406 
Fish Slough 2011 CFM                        	 -118.403800 	 37.489000 	 180.000000 	 0.000000 	 -0.000100 	 0.000100 	 0.000100 	 0.000000 	 0.000200 	 0.000100 	 -0.000050 	 -0.000150 	 0.000000 	 -0.000000 	 -0.000000 	 0.000000 	 -0.000000 	 -0.000000 	 0.000000 	 -0.000000 	 -0.000000 
Garlock (Central)                           	 -117.851000 	 35.372000 	 237.000000 	 0.006500 	 0.005000 	 0.008000 	 -0.000000 	 -0.001500 	 0.001500 	 0.002969 	 0.002284 	 0.003654 	 -0.004572 	 -0.003517 	 -0.005627 	 0.001928 	 0.001483 	 0.002373 	 -0.002969 	 -0.002284 	 -0.003654 
Garlock (Central)                           	 -117.265000 	 35.546000 	 256.000000 	 0.006000 	 0.005000 	 0.011000 	 -0.000000 	 -0.001000 	 0.005000 	 0.001408 	 0.001174 	 0.002582 	 -0.005649 	 -0.004707 	 -0.010356 	 0.000351 	 0.000293 	 0.000644 	 -0.001408 	 -0.001174 	 -0.002582 
Garlock (Central)                           	 -117.265000 	 35.546000 	 256.000000 	 0.006000 	 0.005000 	 0.011000 	 -0.000000 	 -0.001000 	 0.005000 	 0.001408 	 0.001174 	 0.002582 	 -0.005649 	 -0.004707 	 -0.010356 	 0.000351 	 0.000293 	 0.000644 	 -0.001408 	 -0.001174 	 -0.002582 
Garlock (Central)                           	 -117.560203 	 35.479139 	 254.000000 	 0.005100 	 0.004800 	 0.005400 	 -0.000000 	 -0.000300 	 0.000300 	 0.001351 	 0.001272 	 0.001431 	 -0.004713 	 -0.004435 	 -0.004990 	 0.000387 	 0.000365 	 0.000410 	 -0.001351 	 -0.001272 	 -0.001431 
Garlock (Central)                           	 -117.560203 	 35.479139 	 254.000000 	 0.006600 	 0.005400 	 0.007800 	 -0.000000 	 -0.001200 	 0.001200 	 0.001749 	 0.001431 	 0.002067 	 -0.006099 	 -0.004990 	 -0.007207 	 0.000501 	 0.000410 	 0.000593 	 -0.001749 	 -0.001431 	 -0.002067 
Garlock (Central)                           	 -117.560203 	 35.479139 	 254.000000 	 0.005300 	 0.002800 	 0.006300 	 -0.000000 	 -0.002500 	 0.001000 	 0.001404 	 0.000742 	 0.001669 	 -0.004897 	 -0.002587 	 -0.005821 	 0.000403 	 0.000213 	 0.000479 	 -0.001404 	 -0.000742 	 -0.001669 
